id,name,category,shortDescription,fullDescription,logo,folder,events,instagram,linkedin,website
acm-rvce-student-chapter,ACM RVCE Student Chapter,Technical,"A vibrant computing community affiliated with the Association for Computing Machinery, fostering innovation, learning, and collaboration.","The ACM RVCE Student Chapter is a vibrant community at RV College of Engineering that fosters innovation, learning, and collaboration in computing. Affiliated with the Association for Computing Machinery, it organizes workshops, hackathons, talks, and competitions, empowering students to explore cutting-edge technologies and develop skills for academic and professional excellence.",assets/logos/acm-rvce-student-chapter.png,acm-rvce-student-chapter,ACM's Got Talent; Squid Game; Frontend Foundation; CTRL+ Survive - The Final Round,https://instagram.com/acm_rvce_student_chapter,https://linkedin.com/company/acm-rvce-student-chapter,https://acm-rvce-student-chapter.rvce.edu.in
debating-society-of-rvce,Debating Society of RVCE,Non-Technical,"One of India's oldest and most respected debating societies, built on sharp argumentation, clear reasoning, and fearless expression.","Founded in 2003, RVCE's Debating Society is one of India's oldest and most respected. Our legacy is built on sharp argumentation, clear reasoning and fearless expression. We have twice won the Asian British Parliamentary Debate, reached several finals, and made our presence felt at tournaments hosted by Ramaiah, NLS, NLU and Christ. With an alumni network that spans STEM, venture capital and public policy, including graduates from the Ivy League, we carry forward a tradition of skill and influence that keeps us at the forefront of the debating circuit.",assets/logos/debating-society-of-rvce.png,debating-society-of-rvce,The Great Debatsby; Devil's Advocate; Knives Out; Pulp Friction,https://instagram.com/debating_society_of_rvce,https://linkedin.com/company/debating-society-of-rvce,https://debating-society-of-rvce.rvce.edu.in
team-helios-racing,Team Helios Racing,Technical,"A student-driven club that designs, builds, and races All-Terrain Vehicles (ATVs) to compete in BAJA SAE India.","Team Helios Racing is a student-driven club that designs, builds, and races All-Terrain Vehicles (ATVs) to compete in BAJA SAE India. With over a decade of innovation, national titles, and international recognition, we are RVCE's only club that takes part in wheel-to-wheel off-road racing. Here, we combine technical knowledge, creativity and teamwork to push limits on unforgiving terrain and experience the thrill of true motorsport.",assets/logos/team-helios-racing.png,team-helios-racing,GearUp Garage: Car Building Fundamentals; Accelerate to Innovate: Ideas at Racing Speed; Reaction Grid - Where Milliseconds Matter; The Helios Trials: Survival of the Sharpest,https://instagram.com/team_helios_racing,https://linkedin.com/company/team-helios-racing,https://team-helios-racing.rvce.edu.in
chimera-racing-electric,Chimera Racing Electric,Technical,RVCE's official Formula Student Electric team developing high-efficiency electric race cars driven by innovation and precision.,"Chimera Racing Electric is RVCE's official Formula Student Electric team, driven by innovation, precision, and teamwork. Combining advanced engineering, strategic design, and a passion for performance, the team develops high-efficiency electric race cars to compete at the highest level, embodying excellence in technology, sustainability, and competitive spirit.",assets/logos/chimera-racing-electric.png,chimera-racing-electric,Chimera Corsa Rampage; Chimera Pit Bids; Sketch to Speed,https://instagram.com/chimera_racing_electric,https://linkedin.com/company/chimera-racing-electric,https://chimera-racing-electric.rvce.edu.in
ham-radio-club,Ham Radio Club,Technical,RVCE's amateur radio club popularizing Amateur Radio as a hobby while exploring technical innovations in communication.,RVCE Ham Club is the amateur radio club in RVCE. It was inaugurated on 27th August 2019. We aim to popularize Amateur Radio as a hobby among students while exploring technical innovations in the communication domain. RVCE HAM club shall have international collaborations with HAM units across the globe through its activities and aims to have talks with esteemed professionals across the globe through radio communication.,assets/logos/ham-radio-club.png,ham-radio-club,Step into Radiowaves with SDR; Crack the CODE - Morse Code Quiz; Antenna Design Made Simple; Test your basics of Basic Electronics,https://instagram.com/ham_radio_club,https://linkedin.com/company/ham-radio-club,https://ham-radio-club.rvce.edu.in
team-krushi,Team KRUSHI,Technical,"An agri-tech engineering team designing and prototyping field-ready solutions to improve farming productivity, safety, and affordability.","Team KRUSHI brings together engineering students to design and prototype field-ready agri-tech solutions that improve productivity, safety, and affordability. Using the TORQUE framework, the club conducts hands-on development, field testing, and farmer collaboration. With two patents to its name, Team KRUSHI welcomes partnerships with industry, researchers, and farming communities to scale and deploy its innovations.",assets/logos/team-krushi.png,team-krushi,Team Krushi Project Showcase; Group Ideathon - Problem to Prototype; Agri-Tech Quiz & Learning Lab; TEDx Talk - How Agriculture Depends on New Technology,https://instagram.com/team_krushi,https://linkedin.com/company/team-krushi,https://team-krushi.rvce.edu.in
team-antariksh,Team Antariksh,Technical,A student space technology club dedicated to advancing aerospace innovation through CanSats and experimental sounding rockets.,"Team Antariksh is a student space technology club dedicated to advancing innovation in aerospace engineering. The team designs and builds CanSats and experimental sounding rockets, combining innovation with technical expertise. Each project shows commitment to inspire students to challenge boundaries and invoke curiosity in the field of space technology.",assets/logos/team-antariksh.png,team-antariksh,Space Quiz and Parachute Test; Payload Ideathon; Build a Heat Shield; Rocket and Payload Auction,https://instagram.com/team_antariksh,https://linkedin.com/company/team-antariksh,https://team-antariksh.rvce.edu.in
team-dhruva,Team dhRuVa,Technical,"A space and astronomy club investigating the universe through radio astronomy, telescope building, and data analysis.","We investigate the Universe through various methods, such as listening to radio signals from pulsars, the Sun, and far-off galaxies; constructing telescopes to observe the night sky; and analyzing actual data to uncover hidden narratives in stars and clusters. We engage in stargazing, converse with scientists, grasp the science, and even publish our findings. Whether your interest lies in watching the stars, unraveling cosmic enigmas, or simply connecting with other sky enthusiasts, you will find a welcoming space here.",assets/logos/team-dhruva.png,team-dhruva,DDA Division - Data-Driven Astronomy: A Primer; Radio Division - Sound of Space; Optical Division - Optics 101; Research Division - Back to the Past,https://instagram.com/team_dhruva,https://linkedin.com/company/team-dhruva,https://team-dhruva.rvce.edu.in
tedx-rvce,TEDxRVCE,Non-Technical,An independently organized TED-style event bringing inspiring local speakers and performances to spark ideas worth spreading.,"TEDxRVCE is an independently organized TED-style event hosted at RVCE. We bring together inspiring local speakers and vibrant performances to spark meaningful conversations and explore ideas worth spreading. The events are driven by a student-organizing team and creatively tailored to the college community, all while adhering to TED's brand and guidelines, bringing a global TED-like experience to campus and amplifying diverse voices.",assets/logos/tedx-rvce.png,tedx-rvce,Networking Mixer; Creative Chaos; Game Jam Social; Reel Challenge,https://instagram.com/tedx_rvce,https://linkedin.com/company/tedx-rvce,https://tedx-rvce.rvce.edu.in
team-astra-robotics,Team Astra Robotics,Technical,"A student-led robotics club designing intelligent, autonomous systems for global competitions and leading STEM outreach.","Team ASTRA Robotics is a student-led club dedicated to advancing robotics innovation. We design intelligent, autonomous systems for global competitions and lead STEM outreach to inspire future innovators. Founded under the IEEE RVCE Chapter, we continue to collaborate with its Robotics and Automation chapter. Our members gain hands-on experience tackling real-world technical, organizational, and engineering challenges in a collaborative yet competitive environment. From autonomous mobility to AI-driven systems and industrial automation, we foster creativity, leadership, and technical excellence.",assets/logos/team-astra-robotics.png,team-astra-robotics,Robotics Software Prototyping Fundamentals; Robotics Hardware Fundamentals; Robotics Software Fundamentals 2; Inside ASTRA Robotics,https://instagram.com/team_astra_robotics,https://linkedin.com/company/team-astra-robotics,https://team-astra-robotics.rvce.edu.in
team-evoke,Team evoke,Non-Technical,"RVCE's Fashion Club, the ultimate hub for style, creativity, and self-expression through runway shows and styling challenges.","The Fashion Club of RVCE is the ultimate hub for style, creativity, and self-expression. From dazzling runway shows to quirky styling challenges, we bring fashion to life on campus. Our events let you explore everything from modeling and choreography to design and styling, no matter your experience level. It's a space to learn, experiment, and shine with a supportive and stylish community.",assets/logos/team-evoke.png,team-evoke,"Design Dash; Lights, Camera, Fashion!; Walk the Talk: Runway 101; Step Up: Style in Motion",https://instagram.com/team_evoke,https://linkedin.com/company/team-evoke,https://team-evoke.rvce.edu.in
national-service-scheme,National Service Scheme,Non-Technical,"RVCE's community service organization with over 200 active volunteers, guided by the motto 'Not Me But You'.","NSS RVCE is a vibrant student organization dedicated to community service and social responsibility. Guided by the motto 'Not Me But You', it has over 200 active volunteers who take part in various activities like marathons, blood donation camps, cleanliness drives, awareness programs, and rural outreach projects. The unit also organizes special events such as village visits, school improvement drives, and cultural parades to promote social welfare and national pride. Through its continuous efforts, NSS RVCE works towards creating a positive impact on society while developing leadership and empathy among students.",assets/logos/national-service-scheme.png,national-service-scheme,Paint It Forward; Shout It Out; Act and Solve; Link It for Good,https://instagram.com/national_service_scheme,https://linkedin.com/company/national-service-scheme,https://national-service-scheme.rvce.edu.in
carv-hindi,CARV Hindi,Non-Technical,"A Hindi dramatics club exploring acting, scriptwriting, stage performance, and direction through street plays and theatre.","CARV Hindi isn't just a Dramatics club, we are a Storm with a Script. We bring together creative minds to explore acting, scriptwriting, stage performance and direction. Through Street Plays, Theatre, Mono-acts, Mime and much more, we aim to showcase our artistic expression, put forth social issues and channel the chaos we're all born with. Till date we have been to the country's largest fests like at IIT Bombay, Bits Goa, IIT Madras, IIT Kharagpur, IISC and brought back trophies along with stories.",assets/logos/carv-hindi.png,carv-hindi,"Curtains Up: Welcome to the Drama; Aaj, Abhi, Isi Wakt: The Unscripted Stage; Aapka Manch (A Talent Hunt); The Filmy Tickle",https://instagram.com/carv_hindi,https://linkedin.com/company/carv-hindi,https://carv-hindi.rvce.edu.in
ashwa-racing,Ashwa Racing,Technical,"India's first Formula Student team, driving innovation in combustion and hybrid race car engineering since 2003.","Ashwa Racing, India's first Formula Student team, has been driving innovation since 2003. From building its first prototype in 2005 to competing at FSAE Australasia, FS Germany, and FS Italy, the team has proudly represented India on the global stage. In 2015, Ashwa ventured into hybrid technology, earning a world top-10 rank in its very first attempt. Today, with over 20 years of legacy, the team builds multiple prototypes annually across combustion and hybrid categories, backed by strong industry collaborations and a vision to shape the future of mobility.",assets/logos/ashwa-racing.png,ashwa-racing,Racecraft 101; Race Day Rescue; Assembly Sprint; Full Throttle Trivia,https://instagram.com/ashwa_racing,https://linkedin.com/company/ashwa-racing,https://ashwa-racing.rvce.edu.in
e-cell,E CELL,Non-Technical,"A student-led organization fostering innovation, leadership, and entrepreneurship on campus through workshops, pitches, and talks.","E-Cell is a dynamic, student-led organization that fosters innovation, leadership, and entrepreneurship on campus. Functioning through five verticals - Corporate Partnerships, Events & Operations, Startup & Innovation, Media & Tech, and Marketing & PR - it creates a holistic platform for students to gain hands-on experience. From interactive workshops, pitch competitions, and techno-cultural events to inspiring entrepreneur talks, networking sessions, and collaborative projects, E-Cell empowers members to transform ideas into impact, making it a thriving hub of creativity, real-world learning, and professional excellence.",assets/logos/e-cell.png,e-cell,Fund My Failure; ECell Got Latent; Start Up 101; Startup Trivia,https://instagram.com/e_cell,https://linkedin.com/company/e-cell,https://e-cell.rvce.edu.in
alaap,ALAAP,Non-Technical,"RVCE's Music Club, a vibrant hub uniting students through music, open mics, masterclasses, and live performances.","Alaap - The Music Club of RVCE is a vibrant hub that has been uniting students through music for decades, fostering a sense of belonging and community on campus. With a rich legacy and numerous success stories, Alaap has been the cradle of emerging bands like Project Mishram and Dastaan, who have gone on to shine on larger stages. The club continues to blossom into a dynamic center of creativity, inspiring artistic expression, nurturing innovation, and cultivating talent.",assets/logos/alaap.png,alaap,Club Introduction and Open Mic; Masterclasses on Various Topics; Masterclasses on Various Topics; Club Performances,https://instagram.com/alaap,https://linkedin.com/company/alaap,https://alaap.rvce.edu.in
carv-english,CARV English,Non-Technical,"One of RVCE's premier English-language acting clubs, founded in 2001, with a history of national theatre wins.","CARV English is one of the premier acting clubs in RVCE, was founded in 2001, and continues to have a glorious history of actors and plays since then. We have been winners at premier national fests conducted at NIT Trichy, NIT Surathkal and IIT-Madras, and at various local competitions in Bangalore such as Manipal and NIMHANS. We conduct two flagship events: Coliseum and Productions, where original plays go up on stage, open to the public. CARV English is not just an acting club, its a place where you truly find yourself as you navigate through 4 years of engineering.",assets/logos/carv-english.png,carv-english,"Act-ivites; IEM (Not the Dept.) - Improv, Expressions and Mime; Writer's Purgatory; The Big Backstage Story",https://instagram.com/carv_english,https://linkedin.com/company/carv-english,https://carv-english.rvce.edu.in
studio-zero,Studio Zero,Non-Technical,"RVCE's filmmaking club, a passionate community of movie enthusiasts bringing stories to life through collaborative filmmaking.","Welcome to STUDIO ZERO, RVCE's filmmaking club! We're a passionate community of movie enthusiasts who bring stories to life through collaborative filmmaking. Whether you're interested in acting, directing, cinematography, editing, music composition, or any other aspect of film production, there's a place for you here.",assets/logos/studio-zero.png,studio-zero,From Lens to Cut; 1-Minute Ad Film Challenge; Through My Lens Vlog Challenge; Cinephile Circle,https://instagram.com/studio_zero,https://linkedin.com/company/studio-zero,https://studio-zero.rvce.edu.in
raag,RAAG,Non-Technical,"The Youth Club of RVCE, adding energy and creativity to campus life through events like 8th Mile and Night Cricket.","RAAG, the youth club of RVCE, adds energy and creativity to campus life. Through its five verticals and events like 8th Mile, Matrubhasha Divas, and Night Cricket, it fosters leadership, collaboration, and the true spirit of youth. It is a platform for students to explore talents, innovate, and create unforgettable experiences. With unity and diversity at its core, RAAG truly reflects the vibrant spirit of RVCE.",assets/logos/raag.png,raag,Ice Breaker Games - Laugh. Connect. Repeat.; Endless Juggle - Don't Drop It!; Ask Seniors Anything - No Filter All Answers; RAAG Presents Open Mic - Your Stage. Your Vibe.,https://instagram.com/raag,https://linkedin.com/company/raag,https://raag.rvce.edu.in
